Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Ford,Ecosport Ambiente 1.5,13,117000,Diesel,Manual (Regular),1,388000,668700,9.4,8.9,8,7.7,8.7
Mahindra,Thar Lx Hard 4Wd,2,15000,Diesel,Manual (Regular),1,1540000,1660000,9.9,9.9,9.7,9.5,9.4
Kia,Sonet 1.5 Imt,3,28000,Diesel,Manual (Regular),1,989000,1195000,9.9,9.8,9.6,9.3,9.1
Maruti,Suzuki Grand Vitara Intelligent Hybrid Ecvt,2,24000,Hybrid,Automatic (Cvt),1,1656000,1833000,9.9,9.7,9.7,9.1,8.9
Mahindra,Scorpio N Z8 L 7 Str,3,55000,Petrol,Automatic (Torque Convertor),1,1821000,2156000,9.8,9.6,9.4,9.1,8.1
Mg,Motors Hector Sharp Pro 2.0 6 Str,3,26000,Diesel,Manual (Regular),1,1855000,2242800,9.9,9.8,9.6,9.5,8.8
Hyundai,Alcazar Signature 6 Str 1.5,3,30000,Petrol,Automatic (Dct),1,1791000,2065000,9.9,9.7,9.4,9.1,8.6
Skoda,Kushaq Ambition 1.0L Tsi,5,112000,Petrol,Automatic (Torque Convertor),1,905000,1419000,9.6,9.2,8.1,8.2,8.2
Mahindra,Xuv700 Ax 5 5 Str,5,95000,Petrol,Automatic (Torque Convertor),1,1352000,1719000,9.7,9.3,8.5,8.5,8.8
Renault,Kiger,4,89000,Petrol,Automatic (Amt),1,557000,800000,9.4,8.9,8.6,8.8,8.5
Mahindra,Xuv700 Ax 5 5 Str,3,54000,Diesel,Manual (Regular),1,1597000,1684800,9.8,9.6,9.2,9.1,8.7
Hyundai,Tucson Signature 2.0,4,19000,Petrol,Automatic (Torque Convertor),1,2451000,2856000,9.9,9.9,9.7,9.5,8.8
Tata,Punch Creative Dual Tone,4,16000,Petrol,Automatic (Amt),1,770000,954900,9.9,9.8,9.2,9.5,9.3
Mg,Motors Hector Super 1.5 Petrol*,7,45000,Petrol,Manual (Regular),1,1011000,1218000,9.8,9.5,9.2,8.6,8.5
Kia,Seltos 1.5 Dual Tone,4,58000,Diesel,Automatic (Torque Convertor),1,1459000,1845000,9.6,9.2,8.7,9,8.4
Renault,Kiger,3,21000,Petrol,Manual (Regular),1,652000,999000,9.8,9.7,9.6,9.1,8.9
Renault,Duster,6,46000,Petrol,Manual (Regular),1,748000,1359000,9.8,9.7,9,8.9,8.6
Maruti,Suzuki Vitara Brezza Zdi Ags,8,125000,Diesel,Automatic (Amt),1,631000,975000,9.1,7.7,7.4,7.8,8
Maruti,Suzuki S-Cross 1.6*,11,131000,Diesel,Manual (Regular),2,445000,1199000,9,8.8,7.7,6.9,8.4
Mahindra,Thar Lx Hard 4Wd,3,44000,Diesel,Automatic (Torque Convertor),1,1371000,1685000,9.8,9.7,9.4,9.5,8.5
Hyundai,Creta 1.6 Auto Petrol*,10,110000,Petrol,Automatic (Torque Convertor),1,732000,1357000,9.5,9,8.5,8,8.1
Honda,Wr-V Vx I-Vtec Petrol+Cng(Outside Fitted),7,46000,Cng,Manual (Regular),1,631000,975000,9.8,9.5,8.7,8.6,8
Mahindra,Tuv300 T4,8,95000,Diesel,Manual (Regular),1,574000,817000,9.7,9.4,8.7,8.9,8.8
Hyundai,Creta S 1.5 Knight*,3,26000,Diesel,Manual (Regular),1,1436000,1450800,9.9,9.8,9.3,9.4,8.8
Tata,Nexon Ev Empowered Long Range,2,19000,Electric,Automatic,1,1159000,1929000,9.709160305,9.450763359,8.820229008,8.648275862,8.382824427
Kia,Sonet Anniversary 1.5 At*,5,46000,Diesel,Automatic (Torque Convertor),1,987000,1176000,9.8,8.6,9.1,7.6,8.1
Maruti,Suzuki Brezza Dual Tone,4,40000,Petrol,Manual (Regular),1,901000,1114000,9.8,9.7,9.2,9.1,8.6
Hyundai,Venue 1.0,7,66000,Petrol,Automatic (Dct),1,769000,1110000,9.8,9.5,7.8,8.1,8
Tata,Punch Ev Empowered S Long Range*,2,27000,Electric,Automatic,1,941000,1449000,9.709160305,9.450763359,8.820229008,8.648275862,8.382824427
Ford,Ecosport Titanium 1.5L,7,105000,Diesel,Manual (Regular),3,519000,1067000,9.2,8.8,8.6,8.3,7.5
Mahindra,Thar Lx Hard 4Wd,5,52000,Diesel,Manual (Regular),1,1139000,1376000,9.8,9.7,9.1,8.8,8.5
Tata,Nexon Dual Tone,7,59000,Diesel,Manual (Regular),1,730000,1090000,9.7,9.2,8.5,8.4,8.3
Kia,Sonet 1.0,3,15000,Petrol,Automatic (Dct),2,997000,1229000,9.9,9.8,9.4,8.9,8.7
Tata,Nexon Ev Lux*,5,86000,Electric,Automatic,1,791000,1665000,9.709160305,9.450763359,8.820229008,8.648275862,8.382824427
Kia,Seltos 1.5,4,103000,Diesel,Manual (Regular),1,1207000,1539000,9.5,9.2,8.2,8.1,8.2
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,4,72000,Diesel,Manual (Regular),1,1832000,2159000,9.7,9.5,9.1,8.9,8.7
