Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Kia,Seltos 1.4,4,47000.0,Petrol,Automatic (Dct),1.0,1383000.0,1749000,9.8,9.6,9.3,8.8,8.2
Ford,Ecosport Titanium 1.5L Ti-Vct,5,61000.0,Petrol,Automatic (Torque Convertor),1.0,823000.0,1171000,9.8,9.6,9.0,8.9,7.9
Kia,Sonet X Line 1.5,3,35000.0,Diesel,Automatic (Torque Convertor),1.0,1292000.0,1489000,9.8,9.8,9.3,9.3,8.8
Mg,Motors Hector Sharp 2.0 Diesel*,6,57000.0,Diesel,Manual (Regular),1.0,1233000.0,1728000,9.8,9.4,9.2,9.0,8.5
Honda,Wr-V Vx,4,21000.0,Petrol,Manual (Regular),1.0,782000.0,1037000,9.9,9.8,9.0,9.0,8.8
Nissan,Magnite Xv Dual Tone,3,70000.0,Petrol,Manual (Regular),1.0,640000.0,875000,9.7,9.3,8.2,8.5,7.9
Maruti,Suzuki S-Cross 1.6,10,100000.0,Diesel,Manual (Regular),2.0,579000.0,1203000,9.5,9.1,7.7,7.8,8.4
Mahindra,Xuv500 W11,8,102000.0,Diesel,Automatic (Torque Convertor),1.0,1145000.0,1898000,9.3,9.2,8.1,7.6,7.6
Skoda,Kushaq Ambition 1.0L Tsi,3,25000.0,Petrol,Manual (Regular),2.0,1010000.0,1199000,9.9,9.8,9.4,9.4,9.0
Hyundai,Creta 1.6,9,123000.0,Petrol,Manual (Regular),1.0,665000.0,1208000,9.5,9.1,7.6,7.7,8.8
Renault,Kiger Dual Tone*,4,23000.0,Petrol,Automatic (Cvt),1.0,755000.0,1062000,9.3,9.6,9.2,9.5,8.0
Maruti,Suzuki Brezza Dual Tone,3,41000.0,Petrol,Automatic (Torque Convertor),1.0,1133000.0,1414000,9.8,9.6,9.2,9.1,8.3
